sku,Product name,Product EAN,Price in store
64428NP,Intex Ultra Plush luchtbed - tweepersoons,6941057418339-1,79.95
68672,Hoofdkussen,6940000000000,0
68675,Nekkussen,6940000000000,0
68609,Intex elektrische (hoge druk) opblaaspomp,6940000000000,53.3
68612,Intex handpomp - klein model,6940000000000,3.45
68615,Intex handpomp - groot model,6940000000000,11.75
58355NP,Intex Explorer Pro 100 éénpersoons opblaasboot,6940000000000,0
58356NP,Intex Explorer Pro 200 - Tweepersoons opblaasboot ,6940000000000,0
58357NP,Intex Explorer Pro 200 Set - Mét peddels en pomp,6940000000000,0
68305NP,Intex Challenger Kayak - Eénpersoons,6940000000000,99
68324NP,Intex Excursion 4 opblaasboot,6940000000000,198
68376NP,Intex Mariner 4 Set - Vierpersoons opblaasboot,6940000000000,419.95
2000016740,Sevylor Adventure Plus,3140000000000,362
2000009548,Sevylor Adventure Kit,3140000000000,359
2000009547,Sevylor Adventure,3140000000000,329
205161,Sevylor Yukon,3140000000000,510
2000014700,Sevylor Pointer K2 - tweepersoons,3140000000000,679
205516,Sevylor Tahiti Plus - Driepersoons,3140000000000,189
2000009551,Sevylor Caravelle K85 - Klein driepersoons,3140000000000,78.5
2000009553,Sevylor Caravelle K105 - Driepersoons,3140000000000,94.95
2000009550,Sevylor Caravelle KK65 - Tweepersoons,3140000000000,87
59623,Intex peddels,6940000000000,7.5
204779,Sevylor SKEG,89736701306,22.75
68370NP,Intex Challenger 3 Set - Met peddels en pomp,6940000000000,102.5
68325NP,Intex Excursion 5 opblaasboot,6940000000000,189
204771,Sevylor Peddel AV150,3290000000000,0
204768,Sevylor dubbele peddel KB-250,4000000000000,32.95
204765,Sevylor Kayak peddels K-215,8010000000000,37.95
2000009563,Sevylor Kayak peddel K-compact 230,3140000000000,44.95
204762,Sevylor Kayak peddels - Tweedelig,89736701979,59.95
204763,Sevylor K-Pro 220 peddels - Professionele kayak peddels,89736701962,72.5
69611,Intex voetpomp - Klein model,6940000000000,6.75
68610,Intex voetpomp - Groot model,6940000000000,8.25
68347NP,Intex Seahawk 2 Set - Tweepersoons opblaasboot,6940000000000,72.95
68624NP,Intex motorsteun,6940000000000,22.95
68631,Intex Elektromotor,6940000000000,239.95
68564NP,Intex Ultra Lounge stoel met poef,6940000000000,29.5
68614,Intex handpomp - standaard model,6940000000000,6.5
68676NP-blauw,Kinderkussen-Blauw,78257686766,2.85
66810NP,Intex Kinder kampeerluchtbed,6940000000000,0
57444NP,Dinosaurus zwembad speelcentrum,6940000000000,51.95
55503,Onderwater speelsticks (set van 3),6940000000000,0
55504,Onderwater speelsticks (set van 5),6940000000000,0
55691-blauw,Intex duikbril pro 8+-Blauw,78257556915,4.95
55691-paars,Intex duikbril pro 8+-Paars,78257556915,4.95
55691-Grijs,Intex duikbril pro 8+-Grijs,78257556915,4.95
55692-blauw,Intex duikbril pro master 14+-Blauw,78257556922,5.95
55692-doorzichtig,Intex duikbril pro master 14+-Doorzichtig,78257556922,5.95
55692-geel,Intex duikbril pro master 14+-Geel,78257556922,5.95
55991-blauw,Siliconen Zwemcap-Blauw,78257559916,2
55991-zwart,Siliconen Zwemcap-Zwart,78257559916,2
55991-wit,Siliconen Zwemcap-Wit,78257559916,2
55609,Onderwater Oorpluggen en Neusclip,6940000000000,1.5
55975-groen,Intex Surf Rider duikbril - Groen,78257559756,0
55981-blauw,Intex duikbril pro 14+-Blauw,78257559817,0
55962,Intex Aqua Sport duikset,6940000000000,0
55928-geel,Intex Easy-Flow snorkel - Geel,78257559282,3.95
55928-zwart,Intex Easy-Flow snorkel - Zwart,78257559282,3.95
55936-geel,Intex Zwemvliezen klein (maat 35-37) ,6940000000000,6.4
55937,Intex zwemvliezen medium (maat 38-40),6940000000000,8.95
59030NP,Grote strandbal,6940000000000,0
59065NP,Jumbo strandbal ,6940000000000,0
58221NP-geel,Zwemband in diervorm-Lama,78257582211,4.9
58221NP-krokodil,Zwemband in diervorm-Krokodil,78257582211,0
58221NP-eenhoorn,Zwemband in diervorm-Eenhoorn,78257582211,4.9
59251NP-oranje,Hawaï zwemband - oranje,78257592517,3.95
59251NP-blauw,Hawaï zwemband - blauw,78257592517,3.95
59252NP,Autoband zwemband ,6940000000000,2.95
58202EU,Grote zwemband met handgrepen ,6940000000000,0
58671EU,Kinderzwemvest,6940000000000,3.5
58660EU,Geel Kinder zwemvest,6940000000000,3.95
58652EU,Kleurrijke Zwembandjes,6940000000000,0
58642EU,Zwembandjes Deluxe 3-6 jaar,6940000000000,1.95
58641EU,Zwembandjes Deluxe 6-12 jaar,6940000000000,1.95
56585EU,Baby zwemband met zitje Ø 70 cm,6940000000000,0
56587EU,Baby zwemband met zitje,6940000000000,0
58165-rood,Opblaasbaar zwemboard-Rood,78257581658,5
58165-oranje,Opblaasbaar zwemboard-Oranje,78257581658,0
58504NP,Drijfring voor balspel,6940000000000,5.25
56508NP,Opblaasbaar volleybal net,6940000000000,0
58523NP,Opblaasbare walvis,6940000000000,8.75
58562NP,Opblaasbare krokodil,6940000000000,0
59895EU-blauw,18-pocket luchtbed-Blauw,78257598953,9.9
59895EU-roze,18-pocket luchtbed-Roze,78257598953,9.9
58821NP,Opblaasbare koelbox met flessenhouders,6940000000000,32.5
58868EU,Lounge stoel voor watergebruik,6940000000000,30.25
58924NP,Baby zwembad Sunset Glow (86x25cm),6940000000000,5.5
59409NP-geel,My First Pool babyzwembad geel,6940000000000,0
59409NP-groen,My First Pool babyzwembad groen,6940000000000,2.8
57100NP-groen,Vierkant babyzwembad-Groen,78257571000,9.5
57100NP-roze,Vierkant babyzwembad-Roze,78257571000,9.5
57403NP,Baby zwembad rechthoekig,6940000000000,12.45
57422NP,Kleurrijk opblaasbaar zwembad,6940000000000,11.5
56441NP,Kinderzwembad Sunset Glow,6940000000000,16.25
58431NP,Opblaasbaar zwembad met dunne zijkant,6940000000000,18.5
57172NP,Kinderzwembad met frame Roze,6940000000000,0
57173NP,Kinderzwembad met frame-Blauw,6940000000000,33.5
57453NP,Intex speelzwembad Regenboog,6940000000000,63.95
56452NP,Opzetzwembad met oceaanprint,6940000000000,15.6
58472NP,Groot opzetzwembad met onderwaterprint,6940000000000,0
58480NP,Opblaaszwembad Little Otter,6940000000000,27.95
57470NP,Opblaaszwembad met zonnedak,6940000000000,0
885W,Brievenbus Bremen wit,4000000000000,137.1
885BR,Brievenbus Bremen bruin,4000000000000,0
886Si,Brievenbus Kiel zilver,4000000000000,0
886W,Brievenbus Kiel wit,4000000000000,159
886GR,Brievenbus Kiel groen,4000000000000,144
886S,Brievenbus Kiel zwart,4000000000000,144
1899W,Brievenbus Venezia wit,4000000000000,299
1899BC,Brievenbus Venezia koperbruin,4000000000000,311.55
857W,Brievenbus Modena wit,4000000000000,73.62
857Si,Brievenbus Modena zilver,4000000000000,73.62
857ANT,Brievenbus Modena antraciet,4000000000000,0
1883W,Brievenbus Sylt wit,4000000000000,125
1883K,Brievenbus Sylt koperbruin,4000000000000,133.8
777W,Brievenbus Leipzig wit,4000000000000,59
777BR,Brievenbus Leipzig bruin,4000000000000,42.95
3877Ni,RVS brievenbus Borkum,4000000000000,94.41
889W,Brievenbus Malmö,4000000000000,137.1
